__strncoll,"PUSH R32\nPUSH DWORD PTR SS:[EBP+CONST]\nPUSH DWORD PTR SS:[EBP+CONST]\nCALL CONST\nADD ESP,CONST\nPOP EBP\nRETN",CXYH8EupfWBPi8wKP9Bkq8K8QFbSiz3PT4vMCgAAAAAAAAAAS6l9YD/QZKs8OdvB0os9zwAAAAAAAAAAPDnbwQAAAAAAAAAAwrxAVgAAAAAAAAAA,[],8724f312d7d930b017b73fcb194ec31b5061e46d,VS2005,LIBC.LIB
___CxxFrameHandler,"PUSH EBP\nMOV EBP,ESP\nSUB ESP,CONST\nPUSH R32\nPUSH R32\nPUSH R32\nCLD\nMOV DWORD PTR SS:[EBP+CONST],R32",jrZbAwAAAAAAAAAA,voVkygAAAAAAAAAAe7L2qZyGUTichlE4OVp8YAAAAAAAAAAA3xP/6QAAAAAAAAAAKCc7MTlafGAAAAAAnIZROL6FZMpSYmcrnIZROL6FZMqchlE4nxDKfHuy9qlrIAKxayACsZyGUTichlE4UmJnK98T/+m7IZT2nIZROL6FZMqgLhZNoC4WTb6FZMoAAAAAuyGU9t8T/+lBjXwbQY18G98T/+koJzsx,fb687cb3c11335e10eee7f8ba7cd3ba2b1fbec93,VS2005,LIBC.LIB
?_JumpToContinuation@@YGXPAXPAUEHRegistrationNode@@@Z,"PUSH EBP\nMOV EBP,ESP\nPUSH R32\nPUSH R32\nPUSH R32\nPUSH R32\nMOV R32,DWORD PTR SS:[EBP+CONST]\nADD R32,CONST",YtYcGAAAAAAAAAAA,[],ff70b9726ce7f40af7121b64dbf7d5f0607f07e9,VS2005,LIBC.LIB
___CxxLongjmpUnwind@4,"MOV R32,DWORD PTR SS:[ESP+CONST]\nPUSH DWORD PTR DS:[R32+CONST]\nPUSH DWORD PTR DS:[R32+CONST]\nPUSH CONST\nPUSH DWORD PTR DS:[R32+CONST]\nCALL CONST\nADD ESP,CONST\nRETN CONST",YsbnLQAAAAAAAAAA,Dlp47eOiq3xdfQvOGscrcgAAAAAAAAAA5oV7ZuOiq3xdfQvO3xPA5RrHK3K7tlwsXX0LzoDOtO0AAAAAu7ZcLOaFe2bfE8DlgM607d8TwOUAAAAA3xPA5Q5aeO3mhXtmE6TvvxrHK3K7tlws46KrfIDOtO0AAAAA,34b27266e17413f81632d24a000fed9360799df5,VS2005,LIBC.LIB
?_CallMemberFunction1@@YGXPAX00@Z,"POP R32\nPOP R32\nXCHG DWORD PTR SS:[ESP],R32\nJMP R32",na+F4wAAAAAAAAAA,[],d397476994e8454e47be6a36fea85a7ab0c4df28,VS2005,LIBC.LIB
?_CallMemberFunction0@@YGXPAX0@Z,"POP R32\nPOP R32\nXCHG DWORD PTR SS:[ESP],R32\nJMP R32",na+F4wAAAAAAAAAA,[],d397476994e8454e47be6a36fea85a7ab0c4df28,VS2005,LIBC.LIB
?_GetRangeOfTrysToCheck@@YAPBU_s_TryBlockMapEntry@@PBU_s_FuncInfo@@HHPAI1@Z,"CALL CONST\nMOV R32,DWORD PTR SS:[EBP+CONST]\nDEC R32\nLEA R32,DWORD PTR DS:[R32+R32*4]\nCMP DWORD PTR DS:[R32+R32*4+CONST],R32\nLEA R32,DWORD PTR DS:[R32+R32*4]\nJCC CONST",uWaIUgAAAAAAAAAAFxTAAP7xc+ty6DpFOHTHa/7xc+ty6DpF3xPA5UmzN/27tlwsu7ZcLJyGUThJszf9u7ZcLEp7us+wN7MSxwukiTh0x2u7tlwsSbM3/bu2XCwXFMAAsDezEru2XCzfE8Dlcug6RblmiFL+8XPrSnu6z7u2XCzfE8Dl/vFz6wAAAAAAAAAAnIZROLu2XCwXFMAA,[],be6a8d4507294ceb7bfefbae5ed414816a5bb54f,VS2005,LIBC.LIB
?_UnwindNestedFrames@@YGXPAUEHRegistrationNode@@PAUEHExceptionRecord@@@Z,"PUSH EBP\nMOV EBP,ESP\nPUSH R32\nPUSH R32\nPUSH R32\nPUSH R32\nPUSH R32\nMOV R32,DWORD PTR FS:[0]",+n3ITQAAAAAAAAAA,67idUgAAAAAAAAAA,e65a060002cbfff439a85ea07ac12c7826047ace,VS2005,LIBC.LIB
?_CallMemberFunction2@@YGXPAX00H@Z,"POP R32\nPOP R32\nXCHG DWORD PTR SS:[ESP],R32\nJMP R32",na+F4wAAAAAAAAAA,[],d397476994e8454e47be6a36fea85a7ab0c4df28,VS2005,LIBC.LIB
?_CallSETranslator@@YAHPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAX2PBU_s_FuncInfo@@H1@Z,"PUSH EBP\nMOV EBP,ESP\nSUB ESP,CONST\nPUSH R32\nPUSH R32\nPUSH R32\nAND DWORD PTR SS:[EBP+CONST],0\nMOV DWORD PTR SS:[EBP+CONST],0",jEGmw0SJYr0DK+eLAyvni3OiGWEAAAAARIlivXOiGWEAAAAAc6IZYQAAAAAAAAAA,[],516cbcbb0e9ff1a1897b4c35dbea26ccd5985504,VS2005,LIBC.LIB
?_CallCatchBlock2@@YAPAXPAUEHRegistrationNode@@PBU_s_FuncInfo@@PAXHK@Z,"PUSH EBP\nMOV EBP,ESP\nSUB ESP,CONST\nMOV R32,DWORD PTR SS:[EBP+CONST]\nAND DWORD PTR SS:[EBP+CONST],0\nMOV R32,DWORD PTR SS:[EBP+CONST]\nMOV DWORD PTR SS:[EBP+CONST],R32\nMOV R32,DWORD PTR SS:[EBP+CONST]",DKUKYwAAAAAAAAAA,0dEoTQAAAAAAAAAA2e8PcNHRKE3iszlf4rM5XwAAAAAAAAAA,c31f42ed166a0627be8ae2e5336eba738bdeef04,VS2005,LIBC.LIB
?name@type_info@@QBEPBDXZ,"PUSH R32\nCALL CONST\nINC R32\nPUSH R32\nCALL CONST\nPUSH R32\nPUSH R32\nMOV DWORD PTR DS:[R32+CONST],R32",kH1nSRTEiGoAAAAAFMSIah5Q3S9R2R0fUdkdHxTEiGoAAAAAHlDdL9iy05kAAAAAcMiU5Niy05mQfWdJ2LLTmQAAAAAAAAAA,[],ee80368be2041dd329a3ba8e77332bf93c4258fe,VS2005,LIBC.LIB
_strpbrk,"LEA R32,DWORD PTR DS:[R32+CONST]\nADD ESP,CONST\nPOP R32\nLEAVE\nRETN",1ZDj64/izv0AAAAA5qY8ceA6CxjVkOPr4DoLGBehh26qtBmvj+LO/Rehh26qtBmvj+LO/eA6CxjVkOPrqrQZr4/izv1OVuV1TlbldQAAAAAAAAAAF6GHbgAAAAAAAAAA,[],e2fb7a42c338c051f3987a13a8f54ff8c42e7a70,VS2005,LIBC.LIB
__wcwild,"LEA R32,DWORD PTR DS:[R32*4+CONST]\nPUSH R32\nCALL CONST\nTEST R32,R32\nPOP R32\nJCC CONST",re3reNF0+9Y9x4AMJHG4hU+LzArjcxr7S6l9YE+LzArjcxr7PceADAcQTmYAAAAA0XT71ooLKAWc+wQv43Ma+0upfWAAAAAAnPsEL2+twNoAAAAAT4vMCgAAAAAAAAAAigsoBcK8QFbEkqZoBxBOZsK8QFbEkqZob63A2sK8QFbEkqZoxJKmaMZr930AAAAAKo4tAnLoOkUAAAAAcug6RTl8Awu0QwJrtEMCa3LoOkUAAAAAOXwDC4U6hg/CvEBWwrxAVgAAAAAAAAAA/f9jIyqOLQKt7et4hTqGD3LoOkUAAAAAcug6RSRxuIUla7R7xmv3fSqOLQKt7et4JWu0e3LoOkUAAAAA,[],0a348a101b67d68efff46212586a5269dfe09084,VS2005,LIBC.LIB
__wfreopen,"PUSH R32\nMOV R32,DWORD PTR SS:[ESP+CONST]\nTEST BYTE PTR DS:[R32+CONST],CONST\nJCC CONST",9sNCugAAAAAAAAAAuZvuqvbDQroAAAAAxNeAT/bDQrq5m+6q,[],3139d69439fa8c1b826409c5cd5d41fc8279eff8,VS2005,LIBC.LIB
___from_strstr_to_strchr,"OR R8,CONST\nPOP R32\nADD R8,CONST\nSBB BYTE PTR DS:[R32+CONST],R8\nSBB R8,CONST\nDEC R32\nADC BYTE PTR DS:[R32+CONST],R8\nLEAVE",6FWr2p4JE7/oVava6FWr2lndh3ZY2ig6WNooOp4JE79Z3Yd20MwxkAAAAAAAAAAAWd2HdiYLiBgAAAAAJguIGAAAAAAAAAAAhHCHHTY9VQTYzQSm2M0Eplndh3bYzQSm2M0EpjY9VQTYzQSmPzBblHabVGZcpTmJ2M0Eplndh3bLaBJKy2gSSjY9VQTYzQSm2M0Eplndh3bYzQSm2M0Epmvi4WrYzQSmXKU5idDMMZDYzQSm2M0Eplndh3Zeo4MnXqODJ54JE78AAAAA2M0EpiYLiBhY2ig6a+LhagAAAAAAAAAAWNooOlylOYl2m1RmNj1VBAAAAAAAAAAAdptUZp4JE78AAAAANj1VBAAAAAAAAAAANj1VBAAAAAAAAAAAngkTv4Rwhx3oVava,[],4b84ae69ca9063ab85075051708764acb0c33851,VS2005,LIBC.LIB
_strchr,"XOR R32,R32\nMOV R8,BYTE PTR SS:[ESP+CONST]\nPUSH R32\nMOV R32,R32\nSHL R32,CONST\nMOV R32,DWORD PTR SS:[ESP+CONST]\nTEST CONST2,CONST\nJCC CONST",2M0Eplndh3bYzQSmn5xpMnabVGZcpTmJ2M0EpjY9VQTYzQSm2M0Eplndh3bLaBJKy2gSSjY9VQTYzQSm2M0Eplndh3bYzQSm2M0Epmvi4WrYzQSmXKU5iWLuXvPYzQSm2M0Eplndh3Zeo4MnXqODJ54JE78AAAAA2M0EpiYLiBhY2ig6a+LhagAAAAAAAAAAWNooOlylOYl2m1RmNj1VBAAAAAAAAAAAdptUZp4JE78AAAAANj1VBAAAAAAAAAAANj1VBAAAAAAAAAAAngkTv4Rwhx3oVava6FWr2p4JE7/oVava6FWr2lndh3ZY2ig6WNooOp4JE79Z3Yd2Yu5e8wAAAAAAAAAAWd2HdiYLiBgAAAAAJguIGAAAAAAAAAAAhHCHHTY9VQTYzQSm,[],bc7d712c6818e10314f95fdd75ab74205cc3470a,VS2005,LIBC.LIB
_bsearch,"PUSH DWORD PTR SS:[EBP+CONST]\nPUSH DWORD PTR SS:[EBP+CONST]\nCALL DWORD PTR SS:[EBP+CONST]\nNEG R32\nSBB R32,R32\nPOP R32\nNOT R32\nAND R32,DWORD PTR SS:[EBP+CONST]",5OWyAibu4WXkUryfZesQzI+bWk33Zl4vIYd5Y639GrnbWm4yJu7hZaqT3bIAAAAAuyGU9uRSvJ8m7uFlqpPdsgAAAAAAAAAAJu7hZbshlPYAAAAA92ZeL4+bWk0AAAAADczAAaqT3bIAAAAAj5taTQ3MwAEhh3ljcug6RSbu4WV/0gTlEWQzg7shlPYAAAAAf9IE5aqT3bIAAAAArf0auSbu4WUAAAAA21puMibu4WURZDOD5FK8n3LoOkVl6xDM,[],8fe194c3abecf15d5c136e908efe82ccb7b389e3,VS2005,LIBC.LIB
__mbsnbcmp,"DEC DWORD PTR SS:[EBP+CONST]\nMOV R32,DWORD PTR SS:[EBP+CONST]\nMOV R32,DWORD PTR SS:[EBP+CONST]\nMOVZX R16,BYTE PTR DS:[R32]\nMOVZX R32,R8\nINC R32\nTEST BYTE PTR DS:[R32+CONST],CONST\nJCC CONST",XqODJzNvNx8AAAAAADmPt6qT3bIAAAAAM283HzNvNx+chlE4x6kDXwAAAAAAAAAAqpPdsgAAAAAAAAAAnIZROI/izv2PLYWNjy2FjcepA19eo4MnXqODJ4z41XgAAAAAj+LO/WNlzdsNzMABDczAATNvNx8AAAAAY2XN24z41XichlE4M283H4z41XichlE471hmHMepA18kA8OdnIZROA3MwAF1RrPRdUaz0dFmYdMNzMABJAPDnUyZAcCMCotiDczAAYz41XgAAAAA0WZh0wA5j7eM+NV4jAqLYqqT3bIAAAAAjPjVeAA5j7eM+NV4jPjVeMepA19BjXwbQY18G8epA19eo4MnTJkBwDNvNx+chlE4,[],facb2ccaa757b0d9e209efc55fe1df657a178543,VS2005,LIBC.LIB
__wchmod,"CALL DWORD PTR DS:[0]\nPUSH R32\nCALL CONST\nPOP R32\nOR R32,CONST\nRETN",qx70DlLONpUD9syIp+n+4qse9A4AAAAAotec1VLONpUD9syIUs42lQAAAAAAAAAAMETjpAP2zIgw/HwiA/bMiAAAAAAAAAAAMPx8IqLXnNWn6f7i,[],7bcc0bb7775e60b8ef972379103e74f305faed3d,VS2005,LIBC.LIB
